main_title,total_seeders,total_leechers,total_peers
The Last of Us: Part II,1643,2922,4565
inZOI,1363,122,1485
Schedule I,1169,55,1224
Schedule I,659,20,679
The Last of Us Part II,527,120,647
Mortal Kombat 1,307,275,582
Schedule I,100,1,101
Blue Prince,768,22,790
Commandos: Origins,452,53,505
BLEACH: Rebirth of Souls [F,410,145,555
House Party,309,31,340
South of Midnight,406,188,594
AI LIMIT,247,57,304
Schedule I,193,2,195
RuneScape: Dragonwilds,275,39,314
Schedule I,232,2,234
Schedule I 3 4f4,382,12,394
Into the Dead: Our Darkest Days 3 10829,137,6,143
Tempest Rising,1367,929,2296
Venus Vacation PRISM: DEAD OR ALIVE Xtreme,234,19,253
Mandragora: Whispers of the Witch Tree,875,208,1083
Kingdom Come: Deliverance II,41,0,41
The Last of Us Part II Crackfix,91,3,94
Haste [FitGirl,191,17,208
Atelier Yumia: The Alchemist of Memories & the Envisioned Land ( 00b/ 00c,263,25,288
Dave The Diver,314,17,331
Cities: Skylines - Collection [Fit,124,13,137
Age of Empires IV,217,199,416
Cataclismo,178,3,181
"Forever Skies [FitGirl , Selective Downl",222,34,256
Cyberpunk,218,131,349
Wreckfest 2,86,9,95
Nordhold,64,0,64
Baldur's Gate 3,829,2495,3324
Age of Wonders 4,159,13,172
South of Midnight,44,13,57
Bleach: Rebirth of Souls,59,42,101
The Last of Us Part II,639,327,966
The Sims 4,144,85,229
American Truck Simulator,120,19,139
South of Midnight,77,49,126
Baldurâ€™s Gate 3,243,522,765
KAISERPUNK,149,10,159
Sins of a Solar Empire II [FitGirl Repa,120,6,126
KARMA: The Dark World,75,13,88
SaGa Frontier 2,118,10,128
Rain World,107,8,115
Myst,122,4,126
SnowRunner: 3-Year Anniversary Edition (/Season 15,136,54,190
Romancing SaGa 2: Revenge of the Seven,291,55,346
"The Talos Principle: Reawakened [FitGirl , Selective Do",147,26,173
Tainted Grail: The Fall of Avalon 9,21,4,25
"Croc: Legend of the Gobbos - Remaster [FitGirl , Selective Downloa",61,22,83
Marvel's Spider-Man 2 Digital Deluxe Edition,24,1,25
Mandragora Whispers of the Witch Tree,130,18,148
Age of Wonders 4 Giant Kings,38,4,42
Psycho Patrol R,41,0,41
BLEACH Rebirth of Souls-TENOKE,37,9,46
#DRIVE Rally,280,11,291
Baldurs Gate 3 1 1 6758295,69,86,155
Dark Deity 2,77,6,83
Romancing SaGa 2: Revenge of the Seven [Fi,86,19,105
Crashlands 2 [FitGirl,121,11,132
Grit and Valor - : Resistance Edition,78,3,81
Nikoderiko: The Magical World - Director's Cut,222,26,248
GUILTY GEAR -STRIVE-: Daredevil Edition [FitGir,67,22,89
Last Epoch Tombs of the Erased,68,13,81
Drive Beyond Horizons,20,3,23
Commandos Origins,79,9,88
Atelier Yumia The Alchemist of Memories And the Envisioned Land-TENOKE,21,1,22
SNOW BROS 2 SPECIAL,110,2,112
Strike Force 2: Terrorist Hunt,39,3,42
Chains of Freedom,187,7,194
God of War Ragnarok,10,1,11
Marvel's Spider-Man 2,18,20,38
INAYAH: Life after Gods,92,3,95
Dune: Imperium,82,3,85
Spilled!,34,0,34
Last Epoch,133,21,154
Nomad Idle 0 0c,37,1,38
Atelier Yumia: The Alchemist of Memories & the Envisioned Land,38,6,44
Aviassembly,82,1,83
Sledders,43,4,47
UBOAT,104,19,123
Need For Speed Most Wanted Unofficial Remake,36,3,39
