main_title,total_seeders,total_leechers,total_peers
The Last of Us: Part II,1316,2219,3535
The Elder Scrolls IV: Oblivion,3566,1999,5565
Clair Obscur: Expedition 33,3767,1296,5063
The Elder Scrolls IV Oblivion,1039,313,1352
Schedule I,1228,41,1269
Clair Obscur Expedition 33,1627,517,2144
Blue Prince,787,15,802
Baldur's Gate 3,370,353,723
Tempest Rising,435,83,518
Commandos: Origins,283,16,299
South of Midnight,344,111,455
Days Gone [FitGirl,513,491,1004
RuneScape: Dragonwilds,127,9,136
Schedule I,239,2,241
Schedule I 3 4f4,392,4,396
Mandragora: Whispers of the Witch Tree,309,32,341
Into the Dead: Our Darkest Days 3 10829,87,6,93
The Sims 4,178,92,270
Days Gone [DODI Re,159,193,352
Age of Empires IV,131,105,236
Dave The Diver,246,15,261
The Last of Us Part II,290,7,297
The Last of Us Part II Crackfix,91,3,94
FATAL FURY: City of the Wolves,226,25,251
"Last Epoch [FitGirl , - fro",120,14,134
"Forever Skies [FitGirl , Selective Downl",144,8,152
Schedule I 3 4f8,199,3,202
Baldurâ€™s Gate 3,148,151,299
Age of Wonders 4,141,10,151
American Truck Simulator,133,17,150
V Rising,296,39,335
Crusader Kings III: Collection,320,21,341
inZOI,80,3,83
LUNAR Collection,132,10,142
SnowRunner: 3-Year Anniversary Edition (/Season 15,98,21,119
South of Midnight,53,24,77
Romancing SaGa 2: Revenge of the Seven,151,15,166
CarX Street,108,17,125
Aviassembly,80,1,81
Breath of Fire IV,205,3,208
DRAGON BALL: Sparking! ZERO,206,112,318
Conquest Dark,152,3,155
Need For Speed Most Wanted Unofficial Remake,48,1,49
Baldurs Gate 3 1 1 6758295,34,21,55
#DRIVE Rally,123,3,126
"The Talos Principle: Reawakened [FitGirl , Selective Do",121,16,137
Lords of the Fallen,18,9,27
Last Epoch,54,3,57
Drive Beyond Horizons 04 20,128,15,143
Kingdom Come: Deliverance II,25,1,26
Days Gone Broken Road,63,20,83
"Croc: Legend of the Gobbos - Remaster [FitGirl , Selective Downloa",50,18,68
Mandragora Whispers of the Witch Tree,38,5,43
World of Goo 2,185,15,200
"Soulslinger: Envoy of Death [FitGirl , Selective Do",67,14,81
Marvel's Spider-Man 2,15,20,35
BeamNG drive 35 5,40,8,48
Crashlands 2 [FitGirl,88,9,97
MotoGP 25,296,137,433
Nikoderiko: The Magical World - Director's Cut,68,7,75
Pax Augusta,91,7,98
Chains of Freedom,86,2,88
Oxygen Not Included,120,1,121
"The Hundred Line: Last Defense Academy [FitGirl , Selective Downl",171,56,227
CyberCorp,94,6,100
Last Epoch Tombs of the Erased,14,1,15
Steel Seed,77,17,94
Commandos Origins,51,3,54
No Rest for the Wicked,65,11,76
SNOW BROS 2 SPECIAL,58,2,60
Marvel's Spider-Man 2 Digital Deluxe Edition,27,3,30
UBOAT,55,5,60
Dune: Imperium,76,0,76
Echoes of Yi: Samsara,79,25,104
The Last Spell,116,8,124
Commandos: Origins,61,6,67
LONESTAR,55,0,55
Monster Energy Supercross 25: The Official Video Game [FitGirl R,57,7,64
Tempest Rising,74,20,94
Amerzone: The Explorer's Legacy,99,26,125
Nomad Idle 0 0c,38,0,38
Knock on the Coffin Lid: [F,70,5,75
Wartales: The Mercenaries Edition [FitGirl,200,20,220
