main_title,total_seeders,total_leechers,total_peers
The Elder Scrolls IV: Oblivion,3261,1410,4671
Clair Obscur: Expedition 33,3329,1003,4332
The Elder Scrolls IV Oblivion,1120,308,1428
Schedule I,1228,41,1269
Clair Obscur Expedition 33,1499,353,1852
Blue Prince,817,16,833
Baldur's Gate 3,370,353,723
Tempest Rising,435,83,518
Commandos: Origins,283,16,299
Days Gone [FitGirl,421,380,801
RuneScape: Dragonwilds,127,9,136
Schedule I 3 4f4,392,4,396
Mandragora: Whispers of the Witch Tree,309,32,341
The Sims 4,178,92,270
Days Gone [DODI Re,124,121,245
Into the Dead: Our Darkest Days 3 10829,87,6,93
Age of Empires IV,131,105,236
Dave The Diver,246,15,261
The Last of Us Part II,275,5,280
FATAL FURY: City of the Wolves,226,25,251
"Last Epoch [FitGirl , - fro",120,14,134
"Forever Skies [FitGirl , Selective Downl",144,8,152
Schedule I 3 4f8,199,3,202
V Rising,222,25,247
Baldurâ€™s Gate 3,148,151,299
Crusader Kings III: Collection,249,25,274
Conquest Dark,133,3,136
LUNAR Collection,132,10,142
SnowRunner: 3-Year Anniversary Edition (/Season 15,98,21,119
CarX Street,108,17,125
MotoGP 25,169,40,209
Aviassembly,80,1,81
DRAGON BALL: Sparking! ZERO,154,68,222
Romancing SaGa 2: Revenge of the Seven,151,15,166
Drive Beyond Horizons 04 20,112,13,125
Need For Speed Most Wanted Unofficial Remake,48,1,49
Breath of Fire IV,183,4,187
Baldurs Gate 3 1 1 6758295,34,21,55
Lords of the Fallen,18,9,27
#DRIVE Rally,123,3,126
"The Talos Principle: Reawakened [FitGirl , Selective Do",121,16,137
Last Epoch,54,3,57
Kingdom Come: Deliverance II,25,1,26
BeamNG drive 35 5,40,8,48
Days Gone Broken Road,49,14,63
World of Goo 2,165,10,175
"KIBORG [FitGirl , - fro",150,36,186
"The Hundred Line: Last Defense Academy [FitGirl , Selective Downl",138,50,188
Mandragora Whispers of the Witch Tree,38,5,43
"Soulslinger: Envoy of Death [FitGirl , Selective Do",67,14,81
Crashlands 2 [FitGirl,88,9,97
Stellaris,476,180,656
Nikoderiko: The Magical World - Director's Cut,68,7,75
Oxygen Not Included,120,1,121
Pax Augusta,91,7,98
Chains of Freedom,86,2,88
inZOI,32,2,34
CyberCorp,78,3,81
Steel Seed,78,22,100
No Rest for the Wicked,46,2,48
Last Epoch Tombs of the Erased,14,1,15
Commandos Origins,51,3,54
Dark Souls III Deluxe Edition,17,9,26
Wartales: The Mercenaries Edition [FitGirl,135,15,150
SNOW BROS 2 SPECIAL,58,2,60
MEMORIAPOLIS,245,5,250
UBOAT,55,5,60
Echoes of Yi: Samsara,79,25,104
Dune: Imperium,76,0,76
The Last Spell,117,3,120
Tempest Rising,74,20,94
Amerzone: The Explorer's Legacy,78,15,93
Commandos: Origins,61,6,67
Marvel's Spider-Man 2 Digital Deluxe Edition,14,1,15
Stellaris BioGenesis,114,25,139
Monster Energy Supercross 25: The Official Video Game [FitGirl R,57,7,64
Lollipop Chainsaw RePOP [Fit,108,23,131
Project Zomboid 7 0,37,1,38
Starcom: Unknown Space,124,2,126
Age of Empires IV: Anniversary Edition,31,20,51
The Hundred Line Last Defense Academy,20,4,24
Crusader Kings III 15 0 2,30,2,32
Artisan TD,106,3,109
Crusader Kings III: Royal Edition,81,7,88
Rogue Loops,41,1,42
