main_title,total_seeders,total_leechers,total_peers
Mickey 17,9136,10777,19913
A Minecraft Movie,3689,3104,6793
Black Bag,4631,5543,10174
The Monkey,2781,1425,4206
The Electric State,2360,790,3150
Last Breath,2228,1126,3354
In the Lost Lands,3413,1567,4980
A Working Man,2179,3758,5937
Novocaine,4372,3474,7846
Cleaner,1665,329,1994
Bill Burr Drop Dead Years,928,114,1042
Sikandar,323,137,460
Batman Ninja vs Yakuza League,663,53,716
Deva,293,39,332
Officer on Duty,640,51,691
The Alto Knights,1923,766,2689
Holland,471,167,638
A Working Man,1141,1102,2243
G20,1218,622,1840
Black Bag,568,357,925
The Assessment,842,185,1027
Popeye The Slayer Man,635,100,735
Riff Raff,302,59,361
A Knights War,311,29,340
Gunslingers,1367,371,1738
High Rollers,580,55,635
Deva,324,46,370
Becoming Led Zeppelin,449,169,618
Borderline,221,48,269
Chhaava,389,110,499
Chhorii 2,381,57,438
Home Sweet Home Rebirth,1102,187,1289
Snow White,281,113,394
A Minecraft Movie,458,945,1403
Zakir Khan Delulu Express,45,7,52
Azaad,137,10,147
Viduthalai Part 1,315,39,354
My Dead Friend Zoe,241,43,284
Bring Them Down,329,94,423
Fog Of War,334,24,358
Caligula The Ultimate Cut,169,16,185
Peter Pans Neverland Nightmare,384,33,417
Dragon,127,24,151
Arouse,245,18,263
Opus,328,198,526
Superboys of Malegaon,270,38,308
Crazxy,325,64,389
Sex-Positive,73,21,94
Viduthalai Part 2,219,37,256
Kaafir,136,18,154
Emergency,94,7,101
The 8th Day,181,12,193
The Rule Of Jenny Pen,304,145,449
Death Of A Unicorn,254,214,468
The World Will Tremble,253,54,307
Distant,195,21,216
JAAT,151,202,353
Test,103,15,118
Renner,183,13,196
Presence,214,75,289
Rich Flu,113,7,120
Aghathiyaa,202,25,227
Be Happy,74,8,82
The Diplomat,53,73,126
Rekhachithram,49,13,62
Mickey 17,562,271,833
Love Hurts,221,16,237
Habal,113,7,120
Court State vs A Nobody,245,60,305
Die Alone,149,15,164
Turn Me On,105,6,111
Bangkera,247,34,281
Chhaava,220,34,254
Revelations,175,148,323
