main_title,total_seeders,total_leechers,total_peers
A Minecraft Movie,3714,1878,5592
Mickey 17,8535,8150,16685
Black Bag,4593,2974,7567
The Monkey,2699,1226,3925
In the Lost Lands,2733,971,3704
A Working Man,1881,1578,3459
Last Breath,2228,1126,3354
A Working Man,5102,5553,10655
Cleaner,1665,329,1994
Novocaine,2559,2131,4690
Sikandar,934,114,1048
Batman Ninja vs Yakuza League,663,53,716
Deva,293,39,332
The Alto Knights,1331,480,1811
G20,1104,649,1753
Officer on Duty,640,51,691
Holland,471,167,638
The Assessment,704,401,1105
Gunslingers,1033,196,1229
Black Bag,537,182,719
JAAT,156,197,353
Popeye The Slayer Man,635,100,735
Captain America Brave New World,1272,717,1989
Riff Raff,302,59,361
Chhaava,298,86,384
A Knights War,311,29,340
Home Sweet Home Rebirth,819,143,962
Chhorii 2,274,40,314
Deva,324,46,370
Becoming Led Zeppelin,416,119,535
A Minecraft Movie,342,1309,1651
Snow White,281,113,394
Crazxy,248,42,290
Superboys of Malegaon,247,34,281
Zakir Khan Delulu Express,45,7,52
My Dead Friend Zoe,241,43,284
Bring Them Down,329,94,423
Fog Of War,267,18,285
Caligula The Ultimate Cut,169,16,185
Dragon,127,24,151
Peter Pans Neverland Nightmare,384,33,417
Arouse,245,18,263
Opus,309,133,442
Sex-Positive,73,21,94
Viduthalai Part 2,219,37,256
Kaafir,132,5,137
Court State vs A Nobody,218,40,258
Mickey 17,445,139,584
The Woman in the Yard,666,437,1103
Death Of A Unicorn,181,100,281
The Rule Of Jenny Pen,304,145,449
The World Will Tremble,224,35,259
Lifeline,610,69,679
Chhaava,166,17,183
Test,77,12,89
The Diplomat,51,43,94
Presence,214,75,289
Warfare,609,495,1104
Renner,183,13,196
Rich Flu,113,7,120
Aghathiyaa,202,25,227
Bangkera,189,15,204
Habal,148,13,161
Love Hurts,221,16,237
Shadow Of God,276,29,305
Turn Me On,105,6,111
Pravinkoodu Shappu,157,17,174
China and Sex,68,29,97
Revelations,175,148,323
High Ground,161,26,187
Delusyon,99,16,115
Alexander And The Terrible Horrible No Good Very Bad Road Trip,157,14,171
McVeigh,121,11,132
