main_title,total_seeders,total_leechers,total_peers
A Minecraft Movie,3875,1678,5553
Mickey 17,8559,7128,15687
A Working Man,4442,2803,7245
Black Bag,4602,2703,7305
In the Lost Lands,2841,781,3622
The Monkey,2662,1201,3863
A Working Man,1545,1063,2608
Novocaine,2378,1715,4093
Sikandar,934,114,1048
Deva,293,39,332
The Alto Knights,998,281,1279
Captain America Brave New World,1654,503,2157
G20,1057,328,1385
Sinners,1355,2535,3890
Holland,471,167,638
JAAT,110,107,217
The Assessment,632,431,1063
Gunslingers,812,132,944
Black Bag,524,172,696
Chhaava,206,35,241
Home Sweet Home Rebirth,764,154,918
Mere Husband Ki Biwi,423,43,466
Ash,1673,381,2054
It Feeds,906,114,1020
Chhorii 2,201,9,210
A Knights War,311,29,340
Deva,324,46,370
Logout,443,38,481
Becoming Led Zeppelin,371,114,485
Crazxy,186,25,211
Superboys of Malegaon,153,15,168
A Minecraft Movie,396,1368,1764
Snow White,281,113,394
Warfare,499,547,1046
Locked,1317,512,1829
The Woman in the Yard,491,222,713
Zakir Khan Delulu Express,45,7,52
Court State vs A Nobody,159,30,189
Bring Them Down,329,94,423
Fog Of War,307,26,333
Mickey 17,388,86,474
Arouse,245,18,263
Peter Pans Neverland Nightmare,384,33,417
Opus,309,133,442
Sex-Positive,73,21,94
Viduthalai Part 2,219,37,256
Kaafir,241,17,258
Death Of A Unicorn,184,94,278
Reign Of Fire,299,31,330
Chhaava,129,19,148
The Rule Of Jenny Pen,304,145,449
Lifeline,401,23,424
The World Will Tremble,204,31,235
The Diplomat,48,50,98
Presence,214,75,289
Test,131,17,148
Bangkera,156,21,177
Renner,183,13,196
Aghathiyaa,202,25,227
Habal,148,13,161
Love Hurts,221,16,237
Shadow Of God,145,15,160
Pravinkoodu Shappu,99,17,116
Turn Me On,105,6,111
China and Sex,68,29,97
Violet,133,16,149
Alexander And The Terrible Horrible No Good Very Bad Road Trip,157,14,171
Superboys of Malegaon,111,19,130
The Pursuit of Lust 5,71,4,75
Myth of Man,179,4,183
Buck Rogers in the 25th Century,99,6,105
Black Diamond,85,6,91
