main_title,total_seeders,total_leechers,total_peers
A Minecraft Movie,3903,1680,5583
A Working Man,4548,1723,6271
Black Bag,4602,2703,7305
The Accountant 2,4304,6884,11188
In the Lost Lands,2768,740,3508
A Working Man,1545,1063,2608
Mickey 17,6647,5978,12625
Novocaine,2338,1189,3527
Sinners,1437,2838,4275
Ash,1843,400,2243
Sikandar,934,114,1048
Havoc,3539,1970,5509
Locked,1664,573,2237
The Alto Knights,912,248,1160
Captain America Brave New World,1596,329,1925
G20,1322,259,1581
JAAT,387,190,577
The Assessment,619,296,915
Gunslingers,751,111,862
Mere Husband Ki Biwi,305,32,337
Chhaava,276,24,300
Jewel Thief  The Heist Begins,547,62,609
Black Bag,524,172,696
It Feeds,490,32,522
Home Sweet Home Rebirth,773,76,849
Logout,268,12,280
Chhorii 2,194,14,208
Warfare,396,205,601
Deva,324,46,370
Crazxy,233,28,261
Becoming Led Zeppelin,371,114,485
Neighborhood Watch,756,89,845
Superboys of Malegaon,153,16,169
The Woman in the Yard,570,162,732
A Minecraft Movie,396,1368,1764
Court State vs A Nobody,174,22,196
Mickey 17,369,93,462
L2 Empuraan,373,76,449
Fog Of War,307,26,333
Opus,309,133,442
Freaky Tales,1172,391,1563
Death Of A Unicorn,184,94,278
Jewel Thief The Heist Begins,345,100,445
Kaafir,241,17,258
Chhaava,128,17,145
Reign Of Fire,183,28,211
Veera Dheera Sooran Part 2,275,39,314
The Diplomat,48,50,98
The World Will Tremble,201,20,221
The Bayou,813,136,949
Lifeline,265,12,277
The Monkey,536,583,1119
The Accountant,518,379,897
Bangkera,192,12,204
Test,131,17,148
Bullet Train Explosion,435,95,530
Habal,148,13,161
Hell of a Summer,294,128,422
Shadow Of God,103,7,110
Pravinkoodu Shappu,261,27,288
Violet,103,18,121
Superboys of Malegaon,164,32,196
Marching Powder,276,68,344
The Pursuit of Lust 5,71,4,75
Deep Inside Angeli Khang,307,40,347
The Last Supper,160,15,175
